venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
Notion Capital,"Notion Capital is a venture capital firm based in London, England, investing exclusively in early stage business-to-business (B2B), software as a service (SaaS) businesses.", , , ,notion.vc,@notionvc, 
K9 Ventures,"K9 Ventures is a technology-focused Pre-Seed fund in Palo Alto, California that was founded in 2009.", ,2009,k9ventures.com/blog ,k9ventures.com,@k9ventures,"Palo Alto, California "
WeWork,"WeWork is a company providing shared workspaces for entrepreneurs, freelancers, startup companies, small businesses and large enterprises.", ,2010,wework.com/newsroom ,wework.com,@WeWork,Manhattan 
Plug and Play Tech Center,"A company based in Sunnyvale, California-based company founded by Saeed Amidi that offers a service that includes accelerator programs, corporate innovation, and investment. Previous investments include Dropbox, PayPal, Lending Club, N26, FiscalNote, Honey, Rappi, Guardant Health, Shippo, and SoundHound. ",Saeed Amidi Alireza Masrour ,2006,plugandplaytechcenter.com/re...es/ ,plugandplaytechcenter.com,@plugandplaytc,"Sunnyvale, California Cleveland New York City Munich Tokyo Beijing Shanghai Amsterdam Paris Stuttgart Berlin Frankfurt Milan Abu Dhabi Jakarta Singapore Bangkok "
Chan Zuckerberg Initiative,The Chan Zuckerberg Initiative (CZI) is a limited liability company founded in 2015 by , , , ,chanzuckerberg.com,@ChanZuckerberg, 
Ben Franklin Technology Partners of Southeastern Pennsylvania,Ben Franklin Technology Partners of Southeastern Pennsylvania is a Philadelphia-based company founded in 1982., ,1982,sep.benfranklin.org/blog/ ,sep.benfranklin.org,@bftp_sep,Philadelphia 
The a16z Cultural Leadership Fund,The a16z Cultural Leadership Fund connects cultural leaders with emerging technology companies, , , ,a16z.com/2018/08/22...rship-fund/,@a16z,"Menlo Park, California "
Qualcomm,An American global semiconductor and telecommunications company. , ,1985, ,qualcomm.com,@qualcomm,San Diego 
Vintage Investment Partners,"Vintage Investment Partners invests in technology companies across Israel, Europe, and the United States.", ,1-Jun-03,medium.com/vintage-i...rs-stories ,vintage-ip.com,@vintage_inv,Herzliya 
Village Capital,"Village Capital is a Washington, D.C.-based company founded in 2009.", ,2009,medium.com/village-capital ,vilcap.com,@villagecapital,"Washington, D.C. Mexico City Nairobi London Bogotá Bangalore Mumbai "
Data Collective,A seed and , , ,dcvc.com/news.html ,dcvc.com,@dcvc,"San Francisco Palo Alto, California "
Blackbird Ventures,Blackbird Ventures is an Australian venture company investing in global internet businesses., , , ,blackbird.vc,@blackbirdvc,New South Wales 
CrossCut Ventures,"Crosscut is a seed-stage venture capital firm, partnering with early-stage founders to build high-growth tech companies.", ,2008, ,crosscutventures.com,@crosscutvc,Venice 
Pegasus Capital Advisors,"Pegasus Capital Advisors is a private equity financing firm based in Stamford, Connecticut with an additional office in New York, and was founded in 1996 by Craig Cogut.", ,1996, ,pcalp.com, ,Connecticut New York 
Bpifrance (public entity),Bpifrance is a public-sector institution dedicated to economic development,Nicolas Dufourcq ,2005, ,bpifrance.com,@bpifrance,Maisons-Alfort 
S2G Ventures,"S2G (Seed 2 Growth) ventures is a multi-stage venture capital firm operating out of Chicago, Illinois, investing in food and agriculture companies since Victor E. Friedberg, Sanjeev Krishna, and Chuck Templeton founded the company in 2014. ", , , ,s2gventures.com,@seed2growth,San Francisco Chicago 
Greylock Partners,"Greylock Partners is a venture capital firm that back entrepreneurs building consumer and enterprise software companies. Their investments include Airbnb, AppDynamics, Cloudera (NYSE: CLDR), Docker, Dropbox (Nasdaq:DBX), Facebook (Nasdaq: FB), LinkedIn (NYSE: LNKD), Medium, Nextdoor, Okta (Nasdaq: OKTA) among others.", ,Oct-65,medium.com/@GreylockVC ,greylock.com,@greylockvc,"Menlo Park, California San Francisco Wellesley, Massachusetts "
Founders Fund,"The Founders Fund is a venture capital firm headquartered in San Francisco, California, investing in technology companies that was founded in 2005 by Peter Thiel, Ken Howry, and Luke Nosek. ", ,2005, ,foundersfund.com,@foundersfund,San Francisco 
Rubicon Venture Capital,?, ,Dec-13,rubicon.vc/blog/ ,rubicon.vc,@rubiconvc,San Francisco New York City 
Ribbit Capital,?,Meyer Malka ,2012, ,ribbitcap.com,@RibbitCapital,"Palo Alto, California "
B-to-v Partners,B-to-V Partners is a European venture capital firm focused on early stage investments in digital and industrial technology companies.,2012,2000, ,b-to-v.com,@btovpartners,St. Gallen Berlin Luxembourg Munich 
The Alchemist Accelerator,A venture-backed initiative in California focused on accelerating startups whose revenue comes from enterprises,2000,2012,blog.alchemistaccelerator.com ,alchemistaccelerator.com,@alchemistacc,"San Francisco Mountain View, California "
Fifth Wall Ventures,"Fifth Wall Ventures, founded in 2016, is a venture capital firm focused exclusively on real estate technology. ",2012, , ,fifthwall.vc,@fifthwallvc,Los Angeles 
Global Brain Corporation,"Global Brain Corporation is a venture capital firm focused on seed, middle, growth, Series A, and late stage investments.",1998,1998, ,globalbrains.com/en/, ,Tokyo 
Cycle Capital Management,Cycle Capital provides venture capital fund management solutions to companies at their development and commercialization stages.,2005,2005, ,cyclecapital.com,@cyclecapitalvc,Montreal Toronto Qingdao 
Golden Gate Ventures,"Golden Gate Ventures is a venture capital firm founded by Vinnie Lauria, Jeffrey Paine, and Paul Bragiel. The company has offices in Singapore and San Francisco and invests in early-stage internet related companies.", , , ,goldengate.vc,@goldengatevc,Grand Cayman 
BoxGroup,BoxGroup is an early stage investment fund focused on technology companies., , , ,boxgroup.com,@boxgroup,New York City 
Viola Ventures (formerly Carmel Ventures),Viola Ventures is a venture capital firm that invests in Israeli-related early-stage companies.,2000,2000, ,viola-group.com,@violaventures,Herzliya 
Lemnos Labs,"Lemnos is an early-stage venture fund based in San Francisco that invests in technology, software, and cloud services companies, serving customers in the United States.", , ,lemnoslabs.com/blog/ ,lemnos.vc,@lemnoslabs,San Francisco 
Albion Capital Group,Albion Capital Group is a London-based venture capital company founded in 1996.,1996,1996,albion.capital/about/blog ,albion.capital,@AlbionVC,London 
Battery Ventures,Venture capital firm,1983,1983, ,battery.com,@BatteryVentures,"Boston San Francisco Menlo Park, California Herzliya London New York City "
NEA (New Enterprise Associates),"A global venture capital firm investing across multiple stages, sectors and geographies.", , , ,nea.com,@nea,"Menlo Park, California "
Revolution Ventures,A venture capital and private equity firm primarily making early stage investments in technology companies. , , , ,revolution.com/entity/...entures/,@revolution,"Washington, D.C. "
Interpublic Group of Companies,Interpublic Group of Companies is a New York City-based advertising company founded in 1930.,1930,1930, ,interpublic.com,@InterpublicIPG,New York City 
Crosslink Capital,Crosslink Capital is a leading early-stage venture capital firm based in San Francisco with over $1.6 billion in assets.,1989,1989, ,crosslinkcapital.com,@crosslinkcap,"Palo Alto, California "
Redpoint Ventures,Venture capital firm focused on early stage technology companies.,1999,1999,medium.com/redpoint-ventures ,redpoint.com,@redpointvc,"Menlo Park, California "
Deerfield Management Company,Deerfield Capital Management (DCM) is a global fixed-income investment adviser.,1994,1994, ,deerfield.com, ,New York City 
Northgate Capital,Venture capital direct investments for expansion-stage high-tech startups; venture capital and private equity fund-of-funds,2000,2000, ,northgate.com, ,"San Francisco Danville, California London Mexico City "
Betaworks,Betaworks is a New York City-based startup studio that builds and invests in internet startups.,2008,2008,blog.betaworks.com ,betaworks.com,@betaworkstudios,New York City 
Korea Investment Partners,"Korea Investment Partners is a venture capital and private equity firm based in Seoul, Shanghai, Beijing, and Sunnyvale.", ,1986, ,kipvc.com, ,"Seoul Shanghai Beijing Chengdu Guangzhou Sunnyvale, California "
Kickstart Seed Fund,Kickstart Seed Fund is a early seed venture fund specialising in start-up investments. , , ,kickstartfund.com/blog ,kickstartseedfund.com,@kickstartfund,Salt Lake City 
Lundbeckfonden Ventures,Lundbeckfonden Ventures is an evergreen life science venture fund established in the autumn of 2009 and wholly owned by Lundbeck Foundation, , , ,lundbeckfonden.com/en/bu...tures/,@lundbeckfonden,Copenhagen 
JumpStart Foundry,Jumpstart Foundry is an investment firm and startup accelerator that funds and supports early-stage healthcare companies., ,2010,jumpstartfoundry.com/cate...blog/ ,jumpstartfoundry.com,@crunchbase,"Nashville, Tennessee "
BBVA Ventures,BBVA Ventures was a venture capital firm that provided funding and consulting financial services companies., ,2013, ,bbvaventures.com,@bbvaventures,"Camden, New Jersey San Francisco Madrid "
Desjardins Venture Capital,Desjardins Venture Capital is the venture capital fund management arm of the Mouvement des caisses Desjardins., ,1987, ,desjardins.com,@desjardinscoop,"Lévis, Quebec "
Alumni Ventures Group,Alumni Ventures Group is a Manchester-based venture capital firm founded in 2013 by Mike Collins., ,2013, ,avgfunds.com,@avgfunds,"Manchester, New Hampshire "
FEAST Creative Foods,A Shanghai-based venture capital firm that invests in F&B startups, ,2018, ,feast-china.com, ,Munich Shanghai 
New Crop Capital,New Crop Capital is a venture capital firm investing in products and/or services which replace conventional animal agriculture., ,1-Jan-15, ,newcropcapital.com,@newcropcapital,"Washington, D.C. "
Capital One,A financial technology company offering consumer and commercial banking services. , , , ,capitalone.com,@capitalone,"McLean, Virginia "
Rothenberg Ventures,Rothenberg Ventures is a venture capital firm founded in 2012 by Mike Rothenberg., ,2012,medium.com/@mikeroth...d4591cbce6 ,rothenbergventures.com,@rothventures,San Francisco United States 
SignalFire,SignalFire is a venture capital and private equity firm built on a real-time data platform. , , , ,signalfire.com,@signalfire,San Francisco 
CircleUp Growth Fund,"CircleUp Growth Fund is an investment platform focused on early stage consumer product investments, credit facilities and their machine learning platform Helio.", , ,circleup.com/blog/ ,circleup.com,@circleup,San Francisco 
Bullpen Capital,Bullpen Capital is an early-stage fund to make follow-on investments for companies who have recently raised seed., , ,bullpencap.com ,bullpencap.com,@bullpencap,San Francisco 
MassVentures,"MassVentures is a venture capital firm focused on fueling the Massachusetts innovation economy by funding early-stage, high-growth Massachusetts startups as they move from concept to commercialization.", ,1978, ,mass-ventures.com,@massventures,Boston 
Mission Bay Capital,Mission Bay Capital is a venture capital firm investing in early stage biotechnology and life science companies. It is headquartered in San Francisco and was founded in 2009 by the California Institute of Quantitative Biosciences. , , , ,missionbaycapital.com, ,San Francisco 
Line Ventures,"Line Ventures is a venture fund that supports revolutionary new start-ups, regardless of growth stage.", , , ,lineventurescorp.com/en/, , 
Corazon Capital,"Corazon Capital is a venture fund based in Chicago that invests in enterprise software, e-commerce marketplaces, technology platforms, autonomous vehicles, and parking startups.", ,2014, ,corazoncap.com, ,Chicago 
Bessemer Venture Partners,?, , ,medium.com/think-with-bvp ,bvp.com,@bessemervp,San Francisco 
LiveOak Venture Partners,LiveOak Venture Partners is a Texas-based venture capital firm making early-stage investments in technology and technology-driven services., , , ,liveoakvp.com,@liveoakvp,"Austin, Texas "
Landmark Growth Capital Partners,Landmark is a private equity and real estate investment company specializing in secondary funds., ,1989, ,landmarkpartners.com, ,"Simsbury, Connecticut Boston Dallas New York City London "
NextGen Venture Partners,?, ,31-Oct-12, ,nextgenvp.com,@nextgenvp,Baltimore 
SevenVentures,SevenVentures is a Unterföhring-based venture capital company founded in 2009., ,2009, ,sevenventures.de,@sevenventures,Unterföhring 
Texas Pacific Group,Texas Pacific Group is a private equity firm that is also a global private investment firm that is interested in early-stage and late-stage ventures, , , ,tpg.com, ,"Fort Worth, Texas "
Costanoa Venture Capital,Costanoa Ventures backs tenacious and thoughtful founders who change how business gets done., ,1-Jun-12, ,costanoavc.com,@costanoavc,"Palo Alto, California "
Binary Capital,"Binary Capital was an early stage, consumer-focused venture capital firm founded in 2014. It had over $300 million under management.", ,2014, ,binarycap.com,@binarycap,San Francisco 
IP Group,"IP Group is a company that develops intellectual property-based businesses, is headquartered in London, United Kingdom and was founded in 2001.", ,2001, ,ipgroupplc.com,@ipgroupplc,London 
True Ventures,A venture capital firm investing in early-stage technology companies, , ,trueventures.com/blog ,trueventures.com,@trueventures,"Palo Alto, California "
Kibo Ventures,A digital technology early stage venture capital firm., , ,kiboventures.com/blog/h...torias/ ,kiboventures.com,@kiboventures,Madrid 
Intel Capital,"Intel Capital is the division of Intel Corporation managing corporate venture capital, investment, mergers and acquisitions.", ,1991, ,intelcapital.com,@intelcapital,"Santa Clara, California "
Fifty Years VC,"Fifty Years is a venture capital seed fund based in San Francisco, California founded by Seth Bannon and Ela Madej in 2016 and focuses on investing in the impact technology market.", , , ,fifty.vc,@fiftyyearsvc,San Francisco 
M Capital Partners,M Capital Partners is a Toulouse headquartered investment company., ,2001, ,mcapitalpartners.fr,@mcapitalpartner,Toulouse Paris Nice Lyon Bordeaux 
Newfund Capital,?, ,2008, ,newfundcap.com,@newfund,Paris 
Uncork Capital,"Uncork Capital is an early stage venture capital firm based in San Francisco and Palo Alto, CA. The firm was formerly known as SoftTech VC.", , ,medium.com/uncorkcapital ,uncorkcapital.com,@uncorkcap,"Palo Alto, California "
Union Square Ventures,?, ,2003,unionsquareventures.com/feed ,usv.com,@usv,New York City 
Horizons Ventures,Horizons Ventures is a venture capital firm headquartered in , ,1999, ,horizonsventures.com,@horizonshk,Hong Kong 
Connect Ventures,"Connect Ventures is a venture capital firm specialized in investments in seed, startup, series A, and early-stage companies.", ,2012, ,connectventures.co,@connect_v,London 
Index Ventures,?, ,1996, ,indexventures.com,@IndexVentures,Geneva San Francisco London Saint Helier 
