venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
Harmony Partners,"Venture capital firm founded in 2011 with $250 million of assets under management and offices in New York, NY and Silicon Valley.", ,2011, ,harmonyvp.com, ,"New York City San Carlos, California "
Midsummer Capital,A New York-based private investment firm that invests in companies in the consumer and business services sectors, ,2002, ,midsummercapital.com, ,New York City 
Hennessey Capital,A division of Hitachi Capital America Corp and is a venture capital firm in Michigan that and offers accounts receivable and inventory financing to companies, ,2002, ,hennesseycap.com, ,"Rochester, Michigan "
KDC Media Fund,KDC Media Fund is an early stage fund investing in media startups. The fund is a JV between Keshet & DCP, , ,medium.com/@dannypeled ,kdc.fund,@kdcfund,Tel Aviv 
Revolution,"Revolution is a venture capital firm based in Washington, DC.", , , ,revolution.com,@revolution, 
Nimble Ventures, Nimble Ventures provides market validation and product development support to innovative ventures in Canada., ,2012, ,nimbleventures.ca,@NimbleVentures,Toronto 
Helix Ventures, A healthcare-focused venture capital firm in California that invests in innovative therapeutic products, ,2008, ,helixventure.com, ,"Palo Alto, California "
Masters Capital,An Atlanta-based venture capital firm that provides discretionary investment advisory and management services, ,1995, ,masterscapital.com, ,Atlanta 
Sure Ventures,Sure Ventures is a venture capital firm investing in early-stage software technology companies., ,2018, ,sure.ventures, ,"Mountain View, California "
Fiedler Capital,"Fiedler Capital invests early-stage entrepreneurs in the Central and Eastern Europe and Baltic regions.", , , ,fiedlercapital.com,@fiedlercap, 
"Richmond Global Ventures, L.P.","A venture capital firm focused in on making investments in globalization, emerging market entrepreneurship, innovation, sustainability, and social justice. ", , , ,rglobal.com, ,New York City 
Delavaco Group,"Delavaco Group invests in retail, real estate, consumer brands, and consumer product sectors.", , , ,delavaco.com,@delavaco,"Toronto Fort Lauderdale, Florida Bogotá Ontario "
Talis Capital,"Talis Capital is a London-based capital venture investment firm focused on late seed, Series A and B technology companies.", , ,medium.com/talis-capital ,taliscapital.com,@taliscapital,London 
KdT Ventures,KdT Ventures is a venture capital firm focused on early stage investment in science based companies., , ,medium.com/@kdtventures ,kdtvc.com, ,"Austin, Texas "
Adverline,A Paris-based venture capital firm that focuses on advertising activities on the internet, ,2000, ,adverline.com,@Adverline,Paris 
VIVES (venture capital),VIVES is a Louvain-la-Neuve-based venture capital company founded in 2004., ,2004, ,vivesfund.com/en,@VIVES_Fund,Louvain-la-Neuve 
China Life Private Equity Investment Co,China Life Private Equity Investment is a equity investment platform., , , ,chinalifepe.com/en/, ,Beijing 
Ping An Global Voyager Fund,A Hong Kong-based venture capital firm that invests in companies in fintech and health tech sectors, ,2017, , , ,Shanghai 
Falmouth Ventures,Falmouth Ventures is a venture capital firm focused on investments in HR and Mar Tech and supported by Kline Hill Partners and Knightsbridge Advisors., , , ,falmouthvc.com, ,"Greenwich, Connecticut "
CA Capital,?, ,1982, ,cacapital.org,@cacapitalfdc,"Sacramento, California "
Activa Capital,"Activa Capital invests in French companies focused on agriculture, food, consumer, business-to-business services, pharmaceuticals, healthcare, education, aeronautics, and industrial sectors.", , , ,activacapital.com/en/,@activacapital,Paris 
VECTR Ventures,VECTR Ventures invests in seed to series A stage technology companies., , , ,vectr.co,@vectr_ventures,Sheung Wan 
Atomic,A venture capital company that founds and funds companies, , , ,atomic.vc,@joinatomic, 
Pacifica Fund,A Palo Alto-based venture capital firm that invests in emerging information technology and materials science companies, , , ,pacificafund.com, ,"Palo Alto, California "
StandUp Ventures,StandUp Ventures is a Toronto-based venture capital firm investing seed stage capital in women founded startups. , ,2017,standupvc.com/blog ,standupvc.com,@standupventures,Toronto 
Southpoint Capital Advisors,Southpoint Capital Advisors is a New York City based employee hedge fund investor., , , ,southpoint-capital.com, ,New York City New York 
MizMaa Ventures,MizMaa is working with the deep technology innovators emerging from Israel's high tech sector., , , ,mizmaa.com, ,San Francisco Tel Aviv Hong Kong 
Affärsstrategerna,Affärsstrategerna is a Stockholm-based company founded in 1988., ,1988, ,astrateg.se, ,Stockholm 
Oddo Asset Management,"Oddo Meriten Asset Management, a Paris-based asset management firm, offers a range of services to institutions.", ,1999, ,oddoam.fr,@oddo_bhf,Paris 
Wavemaker 360,A Pasadena based venture capital firm that invests in the healthcare start-ups., ,2018, ,wavemaker360.com, ,"Pasadena, California "
Global Catalyst Partners,"Global Catalyst Partners is a Palo Alto, California-based venture capital company founded in 1999.", ,1999, ,gc-partners.com, ,"Palo Alto, California Tokyo "
ArchAngels,"An Akron-based angel group and startup city guide website that focuses on companies around Akron, Ohio", ,2005, ,uakron.edu/archangels, ,"Akron, Ohio "
SAM Venture Partners,"SAM Venture Partners is a Sherman Oaks, Los Angeles-based venture capital company.", , , ,samventurepartners.com, ,"Sherman Oaks, Los Angeles "
Signal Equity Partners,Signal Equity Partners is a New York City based venture capital firm investing in communications and media companies., ,1996, ,signal-equity.com/index.htm, ,New York City 
Priveq Investment,Priveq Investment is a private equity firm focused on unlisted growth companies in the Nordic region., ,1983, ,priveq.se, ,Stockholm 
Cohen Private Ventures,Cohen Private Ventures is a company founded in 2014., ,2014, ,cohenpv.com, ,"Stamford, Connecticut New York City "
21 Ventures,A venture capital and private equity firm investing in clean technology companies. , , , ,21ventures.net, ,New York City 
STS Ventures,STS Ventures is a Cologne-based investment firm founded in 2013 by Stephan Schubert , , , ,sts-ventures.de, ,Cologne 
E14 Fund,E14 Fund is a Boston-based venture capital fund investing early stage capital in technology companies developed through the MIT Media Lab. , ,2013, ,e14fund.com,@e14fund,Boston 
Intersouth Partners,"A Durham, North Carolina based venture capital firm investing in technology and life sciences ", ,1985, ,intersouth.com,@intersouth,"Durham, North Carolina "
RONAholdings,A holding company providing investment services with investment in startups with global impact, ,2004, ,ronaholdings.com, ,San Francisco 
Tectonic Capital,A venture capital and private equity firm investing in pre-seed and seed stage technology companies through the FounderGuild. , ,2013, ,tectonic.vc,@TectonicCapital,New York City 
Ramius Advisors,A New York-based hedge fund management firm that focuses on alternative investment vehicles       , ,1918, ,ramius.com, ,New York City 
What IF Ventures,?, ,2019,whatif.vc/blog ,whatif.vc,@whatifventures,"Frisco, Texas "
ZenShin Capital,A venture capital firm in California that provides venture capital to companies that deal with customers in Japan, ,2005, ,zenshincp.com, ,"Menlo Park, California "
Torch Venture Capital,"Torch Venture Capital invests in insurance, finance and real estate companies.", ,2018, ,torchventurecap.com, ,New York City 
TLcom Capital LLP,"TLcom Capital LLP is a Nairobi, Kenya based venture capital firm founded in 1999 by Maurizio Caio. ", ,1999, ,tlcomcapital.com, ,England 
Cross Culture Ventures,A Culver City-based venture capital firm that invests in technology companies , , , ,crossculturevc.com,@crossculturevc, 
Shatter Fund,Shatter Fund invests in women-led technology companies., ,2016, ,shatterfund.com,@shatterfund,San Francisco 
Reaktor Ventures,"Reaktor Ventures is a venture capital firm based in Helsinki, Finland investing in technology and innovation companies.", , , ,reaktorventures.com,@reaktorpolte,Helsinki 
Astia (company),Astia is a Palo-Alto-based company founded in 1999., ,1999,astianotes.blogspot.com ,astia.org,@astiaglobal,Palo-Alto 
Catapult Venture Managers,"A venture capital and private equity firm investing in businesses looking to raise between £50,000 and £2 million in funding.", ,1999, ,catapult-vm.co.uk, ,Leicester 
Growth Capital Fund,?, ,1989, , ,@ericstandlee,Houston 
Zeroth.ai,Zeroth.ai is a venture capital that invests in early-stage start-ups in artificial intelligence and machine learning companies in Asia, , , ,zeroth.ai,@zeroth_ai,Hong Kong 
NAXOS Capital Partners,NAXOS Capital Partners is a venture capital company founded in 2007., ,2007, ,naxoscapital.com, ,New York City Miami 
Yuanming Capital,"A Beijing private equity based, venture capital firm investing in the healthcare industry ", , , ,yuanmingcap.cn, ,Beijing 
Growth Street Partners,Growth Street Partners is a San Francisco based venture capital firm founded in 2017 by Stephen Wolfe and Nathaniel., ,2017, ,growthstreetpartners.com, ,San Francisco 
Imagen Capital Partners,Imagen Capital Partners is a venture capital firm investing in technology companies in the United States. , , , ,imagencap.com, ,"Woodinville, Washington "
Founders Future,"Founders Future is a venture capital that is interested in providing creativity, networking, and support to productive capital", , , ,foundersfuture.com, , 
The Stephens Group,An investment firm investing in private companies in growing industries. , ,1933, ,stephensgroup.com, ,"Little Rock, Arkansas "
Verdexus,Verdexus is a venture capital firm based in Ontario that finances seed and early stage investments., ,2001, ,verdexus.com,@Verdexus,"Waterloo, Ontario Kitchener, Ontario San Francisco London Munich "
Mindful Investors,A venture capital firm in California that invests in companies in the financial and healthcare sectors, ,2013, ,mindfulinvestors.com,@mindful01,California 
TRIREC,TRIREC is an investment holding company incorporated in the Republic of Singapore with key focus on renewable energy and clean technology., ,2014, ,trirec.co, ,Singapore 
Clayton Associates,A venture capital investment firm targeting the healthcare industry, ,Jan-96, ,claytonassociates.com, ,"Brentwood, Tennessee "
Odyssey Venture Partners,A venture capital firm investing in Greek start-up information and communication technology (ICT) companies that address international markets., , , ,odysseyvp.com, , 
Red Sea Venture Partners,Red Sea Venture Partners is a venture capital that specializes in early stage investments that are based in New York, , , ,redseaventurepartners.com, , 
Grosvenor Hill Ventures,"A venture capital firm in London that provides funding for property transactions, both by way of equity interests and short-term finance", , , ,grosvenorhillventures.com, ,London 
One Earth Capital,One Earth Capital is a venture capital firm based on early stage investments in companies in the clean technology industry., , , ,oneearthcapital.com, ,"Felton, California "
Supply Chain Angels,"Supply Chain Angels is a corporate venture arm of YCH Group, with the aim of finding and creating ""unicorns"" in the supply chain.", , , ,scangels.com.sg, , 
Blazer Ventures,?, , , ,blazerventures.com, ,New York City 
NOMO Ventures,NOMO Ventures invests in pre-seed innovation companies., ,2017, ,nomovc.com,@nomovc,San Francisco 
Ontario Centres of Excellence,"A governmental organization investing in projects and people performing research and development work in Ontario, Canada. ", ,1987, ,oce-ontario.org,@oceinnovation,Toronto 
BioStar Ventures,"BioStar Ventures is a venture capital that is interested in companies with medical device technologies, specifically cardiovascular and orthopaedic medicines.", , , ,biostarventures.com, , 
Science (company),"Science is an incubator and investment firm based in Santa Monica, California.", , ,science-inc.com ,science-inc.com,@scienceinc,"Santa Monica, California "
J. Burke Capital Partners,"A private equity firm in New York, United States that invests in small to mid-sized companies", ,2007, ,jburkecapital.com, ,New York City 
NewWorld Capital Group,NewWorld Capital Group is a venture capital and private equity firm that invests in companies in the resource productivity and environmental opportunities sectors., , , ,newworldcapital.net,@NewWorldCapital,New York City 
Pontos Group,"A Helsinki-based private equity firm that focuses on real estate, real estate development, growth companies, and private equity funds", ,1975, ,pontos.fi, ,Helsinki 
Panasonic Ventures,A Cupertino-based venture capital arm of Panasonic that invests in early and late stage ventures, ,1998, ,vcpanasonic.com, ,"Cupertino, California "
ONSET Ventures,ONSET Ventures invests in early-stage information technology and medical technology companies., , , ,onset.com,@ONSETVentures, 
Firstime?,"Firstime is a venture capital firm from Tel-Aviv, Israel investing in technology companies", ,Jun-14, ,firstime.vc,@thetimecoil,Tel Aviv 
System.One,"System.One is a pre-seed venture capital fund based in Berlin, Germany.", ,2016,medium.com/@System.One ,systemone.vc,@maxclaussen,Berlin 
LEA Partners,LEA Partners is a Karlsruhe-based venture capital company founded in 2002., ,2002, ,leapartners.de, ,Karlsruhe 
Promus Equity Partners,A venture capital and private equity firm investing primarily in middle market companies. , ,2011, ,promusequity.com, ,Chicago 
Middleland Capital,"Middleland is a DC based investment firm that focuses on early stage technology opportunities around the world in the areas of food, agriculture, consumer, life sciences, mobile technology and enterprise sectors.", ,2011, ,middlelandcap.com,@middlelandcap,"Washington, D.C. "
Code for America Accelerator,Code for America Accelerator is based in California founded by Jennifer Pahlka in 2009., ,2009, ,codeforamerica.org/accel...rator/, ,San Francisco 
Retro Venture Partners,A California-based investment advisory firm in California that provides startups in Bay Area with early stage funds, , , ,retrovp.com, ,"Menlo Park, California "
CITIC Capital Holdings,A global venture capital firm in Hong Kong that acts as an alternative investment management and advisory company, ,2002, ,citiccapital.com, ,"Central, Hong Kong "
Helmet Capital,A private equity and venture capital firm from Finland that invests in Finnish small and medium-sized enterprises, ,1995, ,helmetcapital.fi/frontpage, ,Helsinki 
Cambridge Capital,"Cambridge Capital is a private equity and venture capital firm that is interested in investing in supply chain steps including transportation, logistics, and technology", , , ,cambridgecapital.com, , 
Vynn Capital,Kuala Lumpur based venture capital firm investing in startups companies in southeast Asia, , , ,vynncapital.com, ,Kuala Lumpur 
Forrest Binkley and Brown,A venture capital and private equity firm investing in middle market buyouts and providing growth capital. , ,1993, ,fbbvc.com, ,"Irvine, California "
Aphelion Capital,Aphelion Capital is a venture capital that invests in companies developing ideas and technologies for healthcare delivery., , , ,aphelioncapital.net, ,"Mill Valley, California "
Search Fund Accelerator,"Search Fund Accelerator is a Boston based venture capital and accelerator firm which helps individuals find, fund and lead their business.", , , ,searchfundaccelerator.com,@searchfundceos,Boston 
Piedmont Angel Network,North Carolina based venture capital group investing in early-stage companies with a sizable market, ,2002,piedmontangelnetwork.com/news/ ,piedmontangelnetwork.com, ,"Winston-Salem, North Carolina "
State Farm Ventures,State Farm Ventures is a subsidiary of State Farm. They are a venture capital fund working to make strategic investments in companies develop products and technologies which can fulfill State Farm customer needs., ,Sep-18, , , , 
DigitalDx Ventures,A US-based venture capital firm investing in early-stage medical and information technology companies, ,2018, ,digitaldxventures.com, ,"Menlo Park, California "
Gefinor Ventures,A venture capital firm in New York that provides debt and minority equity to growth-oriented companies, ,2002, ,gefinorventures.com, ,New York City 
Atom Factory,"Atom Factory is a multi-dimensional branding, entertainment, and artist management company.", , , , ,@atomfactory, 
Kingfisher Investment Advisors,"A venture capital and private equity firm investing in late-stage, high-growth, private technology companies.", , , ,kingfisherinvestment.com, ,San Francisco 
SmartForest Ventures,"A Portland-based venture capital firm that invests in business in the technology, security, business services, and semiconductor industries", ,2000, ,smartforest.com, ,"Portland, Oregon "
Empire Capital Partners,"Empire Capital Partners is a Westport, Connecticut based venture capital and hedge fund.", , , ,empirecapital.com, ,"Westport, Connecticut "
Seven Spires Investment,An Oxford-based venture capital firm that invests in technology companies, ,2003, ,sevenspires.co.uk, ,Oxford 
ALTON (Company),ALTON (formerly US Invest) is a Miami-based legal counseling firm providing company formation services to entities who want to enter the US market, , , ,alton.com, ,Wiesbaden Florida 
Journey Ventures,Venture capital firm investing in technology-enabled travel-based companies, ,2019, ,journeyventures.com, ,Tel Aviv 
LGiLab,A venture capital firm in Israel that funds early stage companies that work with internet technologies, ,1-May-06, ,lgilab.com, ,Tel Aviv 
HIVE Ventures,HIVE Ventures is a venture capital firm investing in early-stage technology startups led by Armenian entrepreneurs., ,2014, ,hiveventures.co,@HIVEVentures,San Francisco 
3311 Ventures,"3311 Ventures is a Los Angeles based venture capital firm focused on early-stage investment in startups in media, entertainment, e-commerce and technology.", ,31-Aug-16, , ,@3311ventures,Los Angeles 
Emil Capital Partners,Emil Capital Partners is a Greenwich-based company founded in 2009., ,2009, ,emilcapitalpartners.com, ,Greenwich 
Investissement Quebec,Investissement Que?bec is a partner in terms of consulting and financing to support an expansion project in Que?bec., ,1998, ,investquebec.com,@InvestQuebec,Quebec City 
FIBI Holding,"A private equity firm that specializes in providing general and premium banking services to large and mid-sized business customers, as well as to households and private businesses", ,1972, ,fibi.co.il,@fibiblog,Tel Aviv 
Endure Capital,"A venture capital and private equity firm investing in technology startups in the transportation and automotive, commerce, digital health, blockchain, and artificial intelligence industry.", , , ,endurecap.com,@endureC,"Palo Alto, California "
NOAH Ventures,"NOAH Ventures is a Bangkok, Thailand based venture capital firm", , , ,noah-venture.com, ,Bangkok 
North-East Venture,North-East Venture is a Copenhagen-based venture capital company founded in 2013., ,2013, ,north-eastventure.com, ,Copenhagen 
Gemini Capital,"Gemini Capital LLC is a private equity and venture capital firm headquartered in Jupiter, Florida making early stage capital investments in aerospace, energy, communications, and technology sectors.", ,2009, , , ,"Jupiter, Florida "
TNB Financial Services,"TNB Financial Services is the investment division of Thomasville National Bank and offer services related to trusts, wills, retirement, estate planning and brokerage services.", , , ,tnbfinancial.com/Conten.../tnb-fi, ,"Thomasville, Georgia "
Bellingham Angel Organization,Bellingham Angel Organization is a Washington-based venture capital company founded in 2005., ,2005, ,bellinghamangels.com, ,Washington (state) 
Geocapital Partners,"Geocapital Partners is a Fort Lee, New Jersey-based venture capital company founded in 1984 by Nic Humphries.", ,1984, ,geocapital.com/geo/home.htm, ,"Fort Lee, New Jersey "
Particon,A Netherlands-based venture capital firm that focuses on the growth of companies in Southern Netherlands, ,1965, , , ,Maastricht 
Carpe Diem Capital Management,New Jersey based investment management advisor providing capital management assistance for growth in middle-market companies, , , ,carpediemcapital.com, ,New Jersey 
Spinnaker Capital Partners,Spinnaker Capital Partners is a Boston based private equity investment firm focused on small and middle market retail franchise investments., , , ,spincap.biz, ,Boston 
Bestport Ventures,A venture capital firm in London that provides development capital to smaller fast-growing companies in the United Kingdom, ,2005, ,bestport.co.uk, ,London 
Springrock Ventures,?, ,2015, ,springrockventures.com, ,Seattle 
Stream Global,A venture capital firm and incubator in Singapore that provides services for Singaporean startups, , , ,stream.com.sg, , 
Vert Capital,Vert Capital was a Los Angeles based venture capital firm founded in 2011., , , ,vertcapital.com, ,Los Angeles 
Brown Brothers Harriman & Co.,Brown Brothers Harriman & Co. is an investment bank that offers international banking services, , , ,bbh.com, ,Marine Midland Building 
Gentry Venture Partners,San Francisco based venture capital firm investing in deep tech technologies, ,2011, ,gentryfc.com, ,San Francisco 
UNIQA Ventures,"A Wien based venture capital firm that invests in companies in health, mobility, smart home and fintech sector.", ,2016, ,uniqaventures.com,@uniqaventures,Vienna 
Schooner Capital,A venture capital firm investing in private companies focused on technology and healthcare and public equities in emerging and frontier markets., ,1971, ,schoonercapital.com,@SchoonerCapital,Boston 
Aetna Ventures,"Aetna Ventures is the investment subsidiary of Aetna Life Insurance Company and focus on strategic investments in healthcare services, healthcare information technology and medical devices.", , , , , ,"Hartford, Connecticut "
Wavecrest Growth Partners (WGP),Wavecrest Growth Partners invests in B2B software and technology-enabled services companies, ,2015, ,wavecrestgrowth.com,@wavecrestgrowth,Boston 
Infoworks,Infoworks is a venture capital that is interested in late-stage venture opportunities that are in digital industries, , ,infoworks.io/blog/ ,infoworks.io,@infoworksio, 
BNP Paribas Développement,BNP Paribas Développement is the Paris-based investment division of French bank BNP Paribas. It makes seed to growth stage capital investments in small to medium sized companies. , ,1988, ,bnpparibasdeveloppement.com, ,Paris 
SPRINGfondet,"SPRINGfondet was an Oslo, Norway based venture capital fund. In 2013, they merged with Alliance VC to form Alliance Venture Spring.", , , ,springfondet.no, ,Oslo 
TargeTech,A venture capital and private equity firm investing in technology companies that also runs a startup incubator. , ,2000, ,targetech.co.il, ,Netanya 
Sutardja Ventures,A venture capital and private equity firm investing in early-stage technology companies. , , , ,scet.berkeley.edu/ventures/,@sutardjacenter, 
Pacific General Ventures,?, ,2003, ,pacgenvc.com, ,"Atherton, California "
Serenda Estonia,Serenda Estonia is an investment company created by Estonian founder of popular social networking portal Rate.ee., ,2008, ,serenda.com, ,Tallinn 
Social Venture Fund,A student-led impact venture capital fund being invested in companies with positive social and environmental impact, ,2009, ,umsocialventure.com,@umsocialventure,"Ann Arbor, Michigan "
Manta Ray Ventures,London-based Venture capital firm investing in international information technology companies, , , ,mantaray.vc, ,London 
Purdue University Endowment,"A university program of Purdue University in Indiana that manages endowments for scholarships, professorships, lecture series, and research centers", ,1869, ,purdue.edu/giving/pl...endowments, ,"West Lafayette, Indiana "
Mobius Corporate Venture Capital,A venture capital firm in Spain that specializes in small and medium companies based in Spain, ,2003, ,mobius.es, ,Madrid 
YI Capital,"A venture capital and private equity firm investing in technology, media, and telecommunication companies. ", ,2014, ,zhiyivc.com/aboutus, ,Beijing 
Brightpath Capital Partners,"A venture capital firm in California that is focused on mid venture and growth stages of companies in the cleantech, health and wellness, sustainable, education, and fintech sectors", , , ,brightpathcapitalpartners.com, , 
XYZ Ventures,"XYZ Ventures is a New York City, New York-based venture capital firm founded in 2013 by Daniel Ghazi", ,2013, ,xyzv.us,@xyzventures,New York City 
Ottawa Angel alliance,A member-led angel group in New York that invests in early stage companies in the Ottawa area, ,2005, ,ottawaangelalliance.angelgroups.net, ,New York City 
Gumi Ventures,A microventure capital firm in Tokyo that focuses on the smartphone sector, ,2012, ,gumiventures.jp, ,Tokyo 
NovAtel,"A mergers and acquistions (M&A) company in Calgary, Canada that designs, manufactures, and sells high precision original equipment manufacturer (OEM) products", ,1978, ,novatel.com, ,Calgary 
Sears Capital Management,A venture investment and portfolio management firm in California that is focused on the life sciences industry, ,1994, ,searscapital.net, ,"Cupertino, California "
Yuuwa Capital,Yuuwa Capital is a Perth-based company founded in 2009., ,7-Nov-09, ,yuuwa.com.au, ,Perth 
InVent?,The corporate venture capital Arm of InTouch. It focuses on investments in early to growth-stage technology startups in Thailand and Asia Pacific region., , , ,inventvc.com, ,Bangkok 
Halo VC by Flight.vc,A San Francisco based venture capital firm bringing together female angel investors to finance healthcare and blockchain ventures, , , ,flight.vc, ,San Francisco 
CrossBridge Venture Partners,CrossBridge is a private equity firm in California that invests in technology companies in the United States and Asia, ,2000, ,crossbridgevp.com, ,California 
Performa Investimentos,A venture capital firm in Brazil that focuses on the cleantech and fintech sectors, ,2005, ,performainvestimentos.com, ,São Paulo 
Growlab Ventures,Growlab Ventures is a startup accelerator that is interested in internet entrepreneurs and startups, , , ,growlab.ca,@growlabs, 
Scania Growth Capital,A venture capital and private equity firm investing in the automotive and transport industries. , , , ,scania.com/group/en/...h-capital/,@scaniagroup, 
SciVentures Investments,Melbourne based venture capital firm investing in pre-seed scientific technology companies, ,Apr-02, ,sciventures.com.au, ,Melbourne 
SIB Innovations,An investment firm providing equity financing solutions and services. , , , ,sib-dresden.de, ,Dresden 
NEO Ventures,NEO Ventures is a venture capital company founded in 2017., ,2017, ,neoventures.net, ,Sofia Madrid 
CAA Ventures,?, ,2012, ,ventures.caa.com, ,Los Angeles 
Powai Lake Ventures,Powai Lake Ventures is a venture capital company founded in 2012., ,2012, ,powailakeventures.com,@powailv,Mumbai India 
Kenda Capital,Kenda Capital is an investment fund manager focused on the energy sector., ,2006, ,kendacapital.com, ,The Hague 
WS Investment Co.,WS Investment Co. is the investment fund of law firm Wilson Sonsini Goodrich & Rosati, , , , , ,"Palo Alto, California "
AB Chalmersinvest,"A Swedish venture capital firm that specializes in coaching, financing, and business development", ,2015, ,chalmersinvest.se, ,Västra Götaland County 
Eastham Capital,"Venture capital firm investing in real-estate industry in Texas, Midwest and Southeast United States", , ,easthamcapital.com/news/ ,easthamcapital.com,@easthamcapital,"Boca Raton, Florida "
TCL Capital,A venture capital firm and private equity firm investing in technology companies. , , , ,capital-en.tcl.com, , 
LaunchPad (company),A Hicksville-based venture capital firm that invests in companies based in Long Island         , ,2012, ,launchpadli.com,@@lilaunchpad,"Hicksville, New York "
Clearwater Capital Management,An investment management firm in Sewickley that focuses on private ventures and market-neutral hedge opportunities, ,2004, ,clearwatercapital.com, ,"Sewickley, Pennsylvania "
Footprint Ventures,"An early stage venture capital firm in Bangalore, Karnataka, India that invests in early stage ventures", , , ,footprintventures.com, ,Bangalore 
Global i Ventures,Global i Ventures is a venture capital and private equity firm in New York City. , , ,globaliventures.com ,globaliventures.com,@GlobaliVentures,New York City 
Norsk Hydro ASA,An international aluminum company in Norway founded in 1905, ,1905, ,hydro.com/en,@NorskHydroASA,Oslo 
Vickers Venture Partners,Vickers Venture Partners is a venture capital firm investing in startups in the in Southeast Asia., , , ,vickersventure.com, , 
Comet Labs,Comet Labs is a VC fund that invests in and support teams transforming industries with AI and robotics to unlock human potential., , ,blog.cometlabs.io ,cometlabs.io,@cometlabs,San Francisco 
StartersHub,"StartersHub is a venture capital fund dedicated to technology startups from Turkey, Europe, North Africa and the Middle East.", , ,startershub.org/blog/ ,startershub.org,@StartersHub, 
Transition Capital Partners,A Dallas based private equity firm that invests in lower middle market companies from various industries, ,1993, ,tcplp.com, ,Dallas 
Tensility Venture Partners,A Chicago based venture capital firm investing in artifical intelligence, , , ,tensilityvc.com, ,Chicago 
Sage Venture Partners,?, ,2000, ,sagevp.com, ,Los Angeles 
London Seed Capital,A venture capital and private equity firm investing in seed and early-stage technology companies. , , , ,londonseedcapital.com, , 
French Partners,A venture capital and private equity firm investing in French entrepreneurs. , , , ,frenchpartners.com,@frenchpartners,Geneva 
Springboard Capital,A member-managed private equity fund in Florida that is focused on seed and early stage investments, ,2002, ,springboardcapllc.com, ,"Jacksonville, Florida "
BLH Venture Partners,BLH Venture Partners is a Georgia-based early-stage investment firm focused on funding innovation., ,2009, ,blhventures.com, ,Atlanta 
Travel Capitalist Ventures,Venture capital firm investing in multi-stage hospitality and travel-based companies world-wide, ,10-Jun-10, ,travelcapitalist.com, ,"Irvine, California "
Romulus Capital,Romulus Capital is a venture capital firm investing in seed and early stage business-to-business companies., , , ,romuluscap.com,@romuluscap,Boston 
CM-CIC Capital Prive,CM-CIC Capital Privé is a subsidiary of CM-CIC Investissement. It invests in SMEs focused on innovations., ,1990, ,cmciccapitalprive.com, ,Paris 
Ward.ventures,A private equity and venture capital firm investing in technology companies., ,2014, ,ward.ventures, ,Dallas 
Schematic Ventures,"Schematic Ventures is a venture capital fund focused on early-stage technology companies in the supply chain, manufacturing, transportation, and digital industrial sectors.", ,2017,medium.com/schematic-ventures ,schematicventures.com,@schematicvc,New York City San Francisco 
NewRoad Capital Partners,NewRoad Capital Partners is a micro venture capital that looks to provide growth equity funding to innovative companies, , , ,newroadcp.com, , 
Maverick Angels,An angel group and investment accelerator in California that is focused on investments in the technology sector, ,2006, ,maverickangels.com,@MaverickAngels,"Agoura Hills, California "
Varga Capital,"Varga Capital is an asset manager with offices based in Hong Kong, London and San Francisco. ", ,28-Sep-17, ,vcap.com, ,San Francisco Hong Kong London 
Nero Ventures,Nero Ventures is a Barcelona-based venture capital company founded in 2014., ,2014, ,neroventures.com,@neroventures,Barcelona 
Intercept Ventures,"Intercept Ventures is a venture capital firm headquartered in San Francisco California that provides seed and early stage . capital investment to companies in the fintech, cloud, mobile technology and security industries ", ,2011, ,interceptventures.com, ,San Francisco 
Z9 Capital,An investment capital firm that makes early stage investments in founder led companies in the United States., , , ,z9capital.com, ,"Boca Raton, Florida "
Deerfield Capital Management,A venture capital and private equity firm focused on global fixed-income investment advisory. , ,1994, ,deerfieldcapital.com, ,"Rosamond, Illinois "
Korea Venture Investment Corporation,A Seoul based corporation that offers financial services to small and medium enterprises and venture capital firms, ,2005, ,k-vic.co.kr, ,Seoul 
Dream Machine,"Dream Machine is a venture capital seed fund, investing in AI, voice, AR, VR, IOT and Blockchain.", , , ,dreammachine.vc,@dreammachinevc, 
Leadout Capital,Leadout Capital is a private equity and venture capital firm investing in pre-seed and seed-stage startups founders from underserved communities., ,2018, ,leadoutcapital.squarespace.com,@leadoutcapital,"Portola Valley, California "
Vy Capital,Vy Capital is a Dubai-based venture capital firm investing in the information technology sector., ,2013, ,vycapital.com, ,Dubai 
Access Medical Ventures,?, ,2010, ,accessmv.com, ,Tel Aviv 
Richert Funding,A venture captal firm in Florida that provides early-stage funding for all industries, ,28-Aug-11, ,richertfunding.com, ,"Windermere, Florida "
ALSTIN,A venture capital and private equity firm making long-term investments in german companies. , , , ,alstin.de, ,Munich 
Cathay Capital,Cathay Capital is a venture capital firm partnering with French companies targeting the Asian economy and Chinese companies seeking European foothold., , , ,cathay.fr,@cathaycapital,Paris 
Applied Crypto Ventures,"A specialized venture capital investment firm based in Boston, United States", ,2018, ,appliedcryptovc.com, ,Boston 
Norseman Capital,?, ,2010, ,norsemancapital.com, ,Denver 
AxVentures-Pymar Fund,Buenas Aires based venture capital fund for investing in early-stage technology startups with Argentinian origin, , , ,axventures.com, ,Buenos Aires 
ICBC International,ICBC International is the venture capital and investment banking subsidiary of the Industrial and Commercial Bank of China (ICBC)., , , ,icbci.com.hk/english/...ex.shtml, ,Hong Kong 
